
HORA INICIO DE MEDICION  Wed Dec 22 09:58:42 2021

HORA FIN DE MEDICION Wed Dec 22 10:02:02 2021
 

Parametros del experimento: 
Usuarios: 150; Tpo. Reflex (seg); 2.000000; IP servidor: 192.168.203.235; Transitorio (seg): 0; Medicion (seg): 200 
Nº usu.; Nº pet.; Tpo Reflex (mseg); Tpo. Ini. (mseg); Tpo. Fin (mseg)
2;14;265.746582;62308.652344;64035.042969
2;15;1064.445190;64302.382813;66055.437500
2;16;2502.964111;67131.367188;69035.820313
2;17;634.101685;71541.031250;72999.812500
2;18;3612.723877;73639.773438;75898.632813
2;19;137.824432;79524.359375;80910.789063
2;20;444.502563;81054.453125;82632.125000
2;21;86.884804;83087.859375;85330.101563
2;22;295.170685;85429.601563;86786.421875
2;23;1144.059326;87086.406250;88892.453125
2;24;5210.482422;90045.398438;91704.992188
2;25;1014.360535;96924.968750;98342.820313
2;26;870.558472;99369.007813;101376.648438
2;27;650.680420;102251.304688;104003.382813
2;28;5328.739258;104663.539063;106827.125000
2;29;3211.686279;112168.304688;113479.968750
2;30;4385.010742;116703.593750;118614.351563
2;31;1404.997803;123004.859375;124655.500000
2;32;1790.873413;126070.625000;127816.914063
2;33;613.258606;129619.273438;131292.359375
2;34;2579.733398;131910.250000;133873.843750
2;35;1710.754272;136463.375000;138140.296875
2;36;3531.168945;139861.109375;141891.015625
2;37;2108.111328;145432.859375;147079.375000
2;38;5440.480469;149195.312500;150564.843750
2;39;3451.437988;156020.046875;157865.390625
2;40;1349.463989;161322.953125;162811.703125
2;41;921.283569;164165.906250;165923.437500
2;42;5491.163086;166856.203125;168690.109375
2;43;1653.156616;174187.093750;175577.937500
2;44;1042.018921;177237.437500;179065.953125
2;45;195.674545;180120.046875;181965.296875
2;46;2476.891846;182165.890625;184552.437500
2;47;791.221069;187028.718750;189280.937500
2;48;139.590851;190079.109375;191969.640625
2;49;1813.114014;192111.625000;194026.609375
2;50;2355.159668;195851.828125;197600.671875
3;0;9998.028320;1.549152;3541.009521
3;1;1006.874084;13542.709961;15482.783203
3;2;3455.212646;16504.541016;18637.705078
3;3;3237.086426;22103.554688;23819.099609
3;4;215.834274;27070.935547;29007.052734
3;5;5297.434570;29227.341797;30834.119141
3;6;1108.791016;36140.589844;38178.542969
3;7;35.035160;39291.808594;40630.269531
3;8;1243.614258;40670.597656;41947.687500
3;9;1700.729126;43203.066406;45518.339844
3;10;154.041718;47223.074219;48945.507813
3;11;139.001785;49107.042969;50697.656250
3;12;278.825195;50842.878906;52390.000000
3;13;2503.604248;52677.886719;54280.148438
3;14;1185.473511;56788.449219;58491.152344
3;15;4301.486816;59686.941406;61327.644531
3;16;4517.224609;65631.156250;67172.609375
3;17;2471.843994;71697.421875;73183.242188
3;18;3027.073975;75657.406250;76972.273438
3;19;857.583679;80003.273438;81577.789063
3;20;3806.914795;82446.304688;84235.414063
3;21;1688.339111;88055.250000;90574.242188
3;22;2272.667725;92275.578125;94500.921875
3;23;500.859497;96784.296875;98295.843750
3;24;1309.595581;98806.429688;101375.015625
3;25;124.398964;102689.906250;104327.890625
3;26;2425.540283;104460.390625;106934.867188
3;27;2982.651855;109362.250000;110789.125000
3;28;1963.714355;113778.250000;115674.679688
3;29;389.986938;117645.515625;119365.632813
3;30;3186.905029;119761.937500;121244.664063
3;31;3927.166260;124445.218750;125901.648438
3;32;364.045013;129838.054688;131620.796875
3;33;1304.784546;131988.390625;134031.578125
3;34;405.700104;135338.187500;137039.671875
3;35;1910.498047;137447.765625;139591.875000
3;36;2906.558838;141506.265625;143315.421875
3;37;533.028503;146229.812500;147852.750000
3;38;3163.614258;148398.343750;150036.015625
3;39;1581.363159;153205.765625;154946.718750
3;40;1451.495483;156535.750000;158327.015625
3;41;3826.254639;159787.250000;161204.359375
3;42;3679.988770;165041.265625;166632.171875
3;43;403.234375;170322.546875;172109.531250
3;44;3555.938232;172514.375000;174342.765625
3;45;1730.521484;177909.843750;179496.312500
3;46;1939.261841;181230.625000;183228.218750
3;47;83.381767;185182.484375;186973.109375
3;48;1147.197998;187059.937500;189058.359375
3;49;4757.103516;190219.750000;192053.562500
