Algorithm: MVA
Ni for Peticiones 	Class 	Throughput (Usuarios) 	Residence time (Usuarios) 	Utilization (Usuarios)	Throughput (Red) 	Residence time (Red) 	Utilization (Red)	Throughput (CPU) 	Residence time (CPU) 	Utilization (CPU)	Throughput (Disco) 	Residence time (Disco) 	Utilization (Disco)
55.0	 Peticiones	 48.50349523827689	 1.1	 53.353844762104586	 97.00699047655378	 5.161268597223257E-6	 2.5027803542950876E-4	 679.0489333358764	 0.018932856317588308	 0.7225963414307062	 630.5454380975996	 0.015000881658262114	 0.42660812705369294
60.0	 Peticiones	 52.83775955931978	 1.1	 58.12153551525176	 105.67551911863956	 5.161384165971189E-6	 2.7264283932609004E-4	 739.7286338304768	 0.019525485197463433	 0.7871674311180253	 686.8908742711571	 0.016020907844884944	 0.4647297588056368
65.0	 Peticiones	 57.14971289780229	 1.1	 62.864684187582526	 114.29942579560458	 5.16149916499504E-6	 2.948925185526598E-4	 800.0959805692321	 0.0201782203837931	 0.8514061358031368	 742.9462676714297	 0.017180162116570804	 0.5026551563184593
70.0	 Peticiones	 61.43518827765899	 1.1	 67.5787071054249	 122.87037655531797	 5.1616134879080966E-6	 3.170055715127204E-4	 860.0926358872258	 0.020899835058210022	 0.9152503766266735	 798.6574476095668	 0.01850715396145331	 0.5403476693292046
75.0	 Peticiones	 65.68898466469172	 1.1	 72.2578831311609	 131.37796932938343	 5.161727002151963E-6	 3.389551608698092E-4	 919.6457853056841	 0.021700657981251367	 0.9786226695173375	 853.9568006409924	 0.020038117769791034	 0.5777615526096762
80.0	 Peticiones	 69.90455369259247	 1.1	 76.89500906185172	 139.80910738518494	 5.161839541118209E-6	 3.6070749705377714E-4	 978.6637516962946	 0.02259284352628214	 1.041425458092578	 908.7591980037022	 0.02181957223294916	 0.6148392105933648
85.0	 Peticiones	 74.07357944940685	 1.1	 81.48093739434754	 148.1471588988137	 5.16195089358494E-6	 3.8221966995893934E-4	 1037.0301122916958	 0.023590652324480807	 1.1035348533929623	 962.9565328422891	 0.02391184813016702	 0.6515075014251075
90.0	 Peticiones	 78.18541497348457	 1.1	 86.00395647083303	 156.37082994696914	 5.162060789545172E-6	 4.0343674126318036E-4	 1094.595809628784	 0.02471070358485334	 1.1647922389002778	 1016.4103946552993	 0.026393967697598556	 0.6876727807119359
95.0	 Peticiones	 82.22633106979333	 1.1	 90.44896417677268	 164.45266213958666	 5.162168881281136E-6	 4.242878683201336E-4	 1151.1686349771066	 0.025972119212264982	 1.2249930795381885	 1068.9423039073133	 0.029370388446958343	 0.723214294554571
100.0	 Peticiones	 86.1785301418448	 1.1	 94.7963831560293	 172.3570602836896	 5.162274718416463E-6	 4.446812155319192E-4	 1206.4994219858272	 0.02739640776036039	 1.2838722299177783	 1120.3208918439825	 0.032980254015596684	 0.7579755057948832
105.0	 Peticiones	 90.01889161519024	 1.1	 99.02078077670927	 180.03778323038048	 5.16237771591946E-6	 4.6449748073438163E-4	 1260.2644826126634	 0.029006816006651774	 1.3410852438826135	 1170.245590997473	 0.03740984836784879	 0.7917530595011604
110.0	 Peticiones	 93.71747142607282	 1.1	 103.08921856868011	 187.43494285214564	 5.162477115217296E-6	 4.835821525585357E-4	 1312.0445999650194	 0.030826691165931185	 1.396186020160776	 1218.3271285389467	 0.04290873417009514	 0.8242835853555951
115.0	 Peticiones	 97.2359238506116	 1.1	 106.95951623567277	 194.4718477012232	 5.162571941849967E-6	 5.017373670691558E-4	 1361.3029339085624	 0.03287615276435549	 1.4486032910601183	 1264.0670100579507	 0.049809149729682235	 0.8552298169949077
120.0	 Peticiones	 100.52632403047674	 1.1	 110.57895643352443	 201.0526480609535	 5.162660970303587E-6	 5.187158319972599E-4	 1407.3685364266744	 0.03516615457373377	 1.4976230806677169	 1306.8422123961977	 0.05854586239298623	 0.8841702356408955
125.0	 Peticiones	 103.53141376562903	 1.1	 113.88455514219194	 207.06282753125805	 5.162742719865584E-6	 5.342220950306458E-4	 1449.4397927188063	 0.03768910597819445	 1.5423923666258632	 1345.9083789531774	 0.06966874752235715	 0.9106012319483512
130.0	 Peticiones	 106.18800201273339	 1.1	 116.80680221400674	 212.37600402546678	 5.162815523934669E-6	 5.479300903857043E-4	 1486.6320281782675	 0.04040624536198818	 1.5819697401453396	 1380.444026165534	 0.08383236264333098	 0.9339670147828154
135.0	 Peticiones	 108.43560770893342	 1.1	 119.27916847982677	 216.87121541786684	 5.162877728628144E-6	 5.595277357780964E-4	 1518.098507925068	 0.04323479213729893	 1.6154541652383023	 1409.6629002161344	 0.10173854284493394	 0.9537356283992301
140.0	 Peticiones	 110.23118115320305	 1.1	 121.25429926852337	 220.4623623064061	 5.162928055180855E-6	 5.687928947505277E-4	 1543.2365361448428	 0.046042632109596845	 1.6422042952078113	 1433.0053549916397	 0.12401026417359096	 0.9695284330266937
145.0	 Peticiones	 111.5665664377401	 1.1	 122.7232230815141	 223.1331328754802	 5.162966065756069E-6	 5.756834828187389E-4	 1561.9319301283613	 0.04866175773840668	 1.662098624807493	 1450.3653636906213	 0.1510055943667651	 0.9812736941121636
150.0	 Peticiones	 112.47965803993075	 1.1	 123.72762384392384	 224.9593160798615	 5.1629925186705E-6	 5.803950354860426E-4	 1574.7152125590305	 0.050926452001202424	 1.6757016991404412	 1462.2355545190999	 0.18264285183786702	 0.9893047091209873
155.0	 Peticiones	 113.04931721372189	 1.1	 124.35424893509409	 226.09863442744378	 5.163009332464537E-6	 5.833344768228049E-4	 1582.6904409921065	 0.05272419505285153	 1.6841883789729302	 1469.6411237783846	 0.2183536685338063	 0.9943150951147417
